file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,corpus,-45.81671646582379,-45.880568330005936,3.89793929196005,8.171336574209546
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-43.75877170138889,-53.57357670710637,3.8811693907260953,11.443148868500742
F2BJRLP3,0.0,30.7068125,corpus,-46.00932106805601,-46.90508526290523,3.659455927908461,10.235460833631313
F2BJRLP2,0.0,28.6474375,corpus,-45.44150305410122,-45.74285216080515,3.598790752102163,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-43.23047820823245,-52.32408288808969,2.7196525242301144,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-44.84836098582474,-50.929595947265625,2.5633459565624697,12.358243745435463
